department,product_category,total_sales_value,total_baskets,unique_households,unique_products
FUEL,COUPON/MISC ITEMS,309667.5,11833,1124,9
GROCERY,SOFT DRINKS,182126.3,39681,2263,1304
MEAT,BEEF,176614.54,20657,2011,747
GROCERY,FLUID MILK PRODUCTS,116360.68,39147,2256,344
GROCERY,CHEESE,107011.61,26621,2174,808
GROCERY,FRZN MEAT/MEAT DINNERS,93023.74,12934,1775,921
GROCERY,BAG SNACKS,84943.85,23897,2149,1144
GROCERY,BAKED BREAD/BUNS/ROLLS,82429.7,34044,2246,877
GROCERY,BEERS/ALES,82026.66,8584,1298,629
GROCERY,FROZEN PIZZA,81175.04,12907,1766,672
MISCELLANEOUS,COUPON/MISC ITEMS,73773.53,3432,1033,73
GROCERY,COLD CEREAL,63009.35,14203,1867,449
DELI,DELI MEATS,60159.68,9565,1427,382
DRUG GM,CIGARETTES,54349.68,6078,782,301
MEAT,CHICKEN,52703.51,8471,1609,265
MEAT-PCKGD,LUNCHMEAT,51855.840000000004,13251,1839,547
MEAT,PORK,50809.31,6894,1409,407
GROCERY,SOUP,48169.29,13077,1920,646
GROCERY,ICE CREAM/MILK/SHERBTS,46876.51,11468,1853,639
DRUG GM,CANDY - PACKAGED,43674.37,12145,1869,1833
GROCERY,CANNED JUICES,41924.840000000004,11231,1749,515
GROCERY,REFRGRATD JUICES/DRNKS,40720.99,14376,1824,275
MEAT-PCKGD,MEAT - MISC,37640.07,4869,1312,151
GROCERY,COFFEE,36874.53,6537,1273,475
GROCERY,CRACKERS/MISC BKD FD,36341.37,12831,1938,586
GROCERY,DOMESTIC WINE,35927.7,2571,539,761
GROCERY,WATER - CARBONATED/FLVRD DRINK,35338.11,10023,1555,340
GROCERY,BATH TISSUES,34892.99,7757,1541,121
GROCERY,YOGURT,34438.85,10049,1493,464
DRUG GM,DIAPERS & DISPOSABLES,33937.79,2618,480,225
GROCERY,LAUNDRY DETERGENTS,32195.59,4853,1320,218
GROCERY,VEGETABLES - SHELF STABLE,32029.56,12621,1848,619
GROCERY,BAKED SWEET GOODS,31689.84,10641,1602,517
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,31686.12,7941,1436,394
GROCERY,DOG FOODS,31126.11,4186,744,496
GROCERY,MEAT - SHELF STABLE,30118.08,7732,1574,329
DELI,CHEESES,29970.010000000002,6429,1216,567
GROCERY,COOKIES/CONES,29939.38,9422,1709,701
MEAT-PCKGD,FROZEN MEAT,29366.64,4680,1224,195
SEAFOOD-PCKGD,SEAFOOD - FROZEN,29007.72,3869,1169,231
GROCERY,HISPANIC,27234.55,8141,1614,1139
DRUG GM,INFANT FORMULA,26910.17,1391,308,122
GROCERY,SALD DRSNG/SNDWCH SPRD,26738.02,9488,1862,493
PRODUCE,POTATOES,26484.010000000002,8765,1674,107
GROCERY,DINNER MXS:DRY,26382.14,7491,1549,263
PRODUCE,SALAD MIX,26086.3,9149,1579,183
DRUG GM,HAIR CARE PRODUCTS,25822.09,4515,1222,1368
GROCERY,FRZN VEGETABLE/VEG DSH,25717.13,7450,1491,337
GROCERY,CONDIMENTS/SAUCES,25491.21,10112,1903,547
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,25355.49,6033,1380,193
PRODUCE,TOMATOES,25240.98,8965,1584,64
MEAT-PCKGD,BACON,25213.06,6080,1353,117
GROCERY,FD WRAPS/BAGS/TRSH BG,24982.73,6366,1590,236
MEAT-PCKGD,DINNER SAUSAGE,24038.83,5568,1398,254
GROCERY,REFRGRATD DOUGH PRODUCTS,23801.6,7829,1560,286
PRODUCE,TROPICAL FRUIT,23735.7,18544,1879,64
GROCERY,MILK BY-PRODUCTS,23696.5,11161,1774,191
GROCERY,FRUIT - SHELF STABLE,23535.81,7544,1546,305
GROCERY,FRZN NOVELTIES/WTR ICE,23397.77,6013,1423,286
PASTRY,CAKES,22439.46,2662,1089,463
GROCERY,EGGS,22360.69,15694,1982,91
GROCERY,HOUSEHOLD CLEANG NEEDS,21740.7,4069,1205,343
GROCERY,DRY BN/VEG/POTATO/RICE,21449.2,7477,1612,481
DRUG GM,ORAL HYGIENE PRODUCTS,21087.89,4487,1310,742
PRODUCE,BERRIES,20933.370000000003,5557,1272,64
PRODUCE,APPLES,20880.14,7161,1441,121
FUEL,FUEL,19926.95,1164,271,5
PRODUCE,GRAPES,19420.57,5692,1415,40
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,19384.81,4370,1312,1912
GROCERY,CAT FOOD,19372.39,3824,610,449
MEAT-PCKGD,HOT DOGS,19365.64,6340,1467,112
GROCERY,PASTA SAUCE,19310.82,6455,1504,233
PRODUCE,VEGETABLES - ALL OTHERS,18901.12,9389,1590,156
DRUG GM,MAGAZINE,18220.96,4063,935,847
DELI,CHICKEN/POULTRY,18152.96,3260,940,142
GROCERY,PNT BTR/JELLY/JAMS,17867.34,5757,1561,301
SALAD BAR,SALAD BAR,17807.69,4897,890,42
GROCERY,BAKING MIXES,17506.41,6374,1516,395
GROCERY,PAPER TOWELS,17504.89,5894,1292,95
GROCERY,BAKING NEEDS,16815.91,5780,1523,443
MEAT-PCKGD,HEAT/SERVE,16245.960000000001,3009,904,127
DRUG GM,CANDY - CHECKLANE,16094.76,13183,1840,420
GROCERY,SHORTENING/OIL,16015.5,4614,1479,209
GROCERY,SPICES & EXTRACTS,15794.36,5296,1590,626
MEAT,SMOKED MEATS,15324.22,2261,877,123
GROCERY,SUGARS/SWEETNERS,15302.86,5602,1497,115
NUTRITION,REFRIGERATED,14936.470000000001,3010,545,302
DRUG GM,ANALGESICS,14899.53,2443,988,409
GROCERY,ISOTONIC DRINKS,14755.7,3316,871,173
GROCERY,FRZN BREAKFAST FOODS,14645.18,4178,1076,203
DRUG GM,COLD AND FLU,14621.25,2745,1091,497
GROCERY,PAPER HOUSEWARES,14573.92,4430,1280,192
DELI,SALADS/DIPS,14404.550000000001,3485,1098,267
PRODUCE,CITRUS,14357.84,6022,1358,112
GROCERY,SEAFOOD - SHELF STABLE,13908.9,4419,1227,166
COSMETICS,MAKEUP AND TREATMENT,13731.94,2287,801,1707
DRUG GM,BABY FOODS,13621.32,2394,410,560
DRUG GM,SHAVING CARE PRODUCTS,13490.88,1901,775,362
GROCERY,DRY NOODLES/PASTA,13167.91,7825,1670,257
GROCERY,MARGARINES,13138.53,7586,1628,131
