department,product_category,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
FUEL,COUPON/MISC ITEMS,309667.5,11833,1124,9,26.169821685117892
GROCERY,SOFT DRINKS,182126.3,39681,2263,1304,4.589760842720697
MEAT,BEEF,176614.54,20657,2011,747,8.549863968630488
GROCERY,FLUID MILK PRODUCTS,116360.68,39147,2256,344,2.9724035047385495
GROCERY,CHEESE,107011.61,26621,2174,808,4.019819315577927
GROCERY,FRZN MEAT/MEAT DINNERS,93023.74,12934,1775,921,7.19218648523272
GROCERY,BAG SNACKS,84943.85,23897,2149,1144,3.5545821651253298
GROCERY,BAKED BREAD/BUNS/ROLLS,82429.7,34044,2246,877,2.4212695335448244
GROCERY,BEERS/ALES,82026.66,8584,1298,629,9.555761882572227
GROCERY,FROZEN PIZZA,81175.04,12907,1766,672,6.289226001394591
MISCELLANEOUS,COUPON/MISC ITEMS,73773.53,3432,1033,73,21.4957837995338
GROCERY,COLD CEREAL,63009.35,14203,1867,449,4.436340913891431
DELI,DELI MEATS,60159.68,9565,1427,382,6.289564035546262
DRUG GM,CIGARETTES,54349.68,6078,782,301,8.942033563672261
MEAT,CHICKEN,52703.51,8471,1609,265,6.221639711958447
MEAT-PCKGD,LUNCHMEAT,51855.840000000004,13251,1839,547,3.913352954494001
MEAT,PORK,50809.31,6894,1409,407,7.370076878445024
GROCERY,SOUP,48169.29,13077,1920,646,3.683512273457215
GROCERY,ICE CREAM/MILK/SHERBTS,46876.51,11468,1853,639,4.087592431112662
DRUG GM,CANDY - PACKAGED,43674.37,12145,1869,1833,3.5960782214903255
GROCERY,CANNED JUICES,41924.840000000004,11231,1749,515,3.7329569940343696
GROCERY,REFRGRATD JUICES/DRNKS,40720.99,14376,1824,275,2.832567473567056
MEAT-PCKGD,MEAT - MISC,37640.07,4869,1312,151,7.7305545286506465
GROCERY,COFFEE,36874.53,6537,1273,475,5.640894905920146
GROCERY,CRACKERS/MISC BKD FD,36341.37,12831,1938,586,2.832310030395137
GROCERY,DOMESTIC WINE,35927.7,2571,539,761,13.97421236872812
GROCERY,WATER - CARBONATED/FLVRD DRINK,35338.11,10023,1555,340,3.525701885662975
GROCERY,BATH TISSUES,34892.99,7757,1541,121,4.498258347299213
GROCERY,YOGURT,34438.85,10049,1493,464,3.427092247984874
DRUG GM,DIAPERS & DISPOSABLES,33937.79,2618,480,225,12.963250572956456
GROCERY,LAUNDRY DETERGENTS,32195.59,4853,1320,218,6.634162373789408
GROCERY,VEGETABLES - SHELF STABLE,32029.56,12621,1848,619,2.5377989065842645
GROCERY,BAKED SWEET GOODS,31689.84,10641,1602,517,2.9780885255145195
GROCERY,CONVENIENT BRKFST/WHLSM SNACKS,31686.12,7941,1436,394,3.990192670948243
GROCERY,DOG FOODS,31126.11,4186,744,496,7.435764452938366
GROCERY,MEAT - SHELF STABLE,30118.08,7732,1574,329,3.895250905328505
DELI,CHEESES,29970.010000000002,6429,1216,567,4.661690776170478
GROCERY,COOKIES/CONES,29939.38,9422,1709,701,3.1776034812141796
MEAT-PCKGD,FROZEN MEAT,29366.64,4680,1224,195,6.274923076923077
SEAFOOD-PCKGD,SEAFOOD - FROZEN,29007.72,3869,1169,231,7.497472215042647
GROCERY,HISPANIC,27234.55,8141,1614,1139,3.3453568357695613
DRUG GM,INFANT FORMULA,26910.17,1391,308,122,19.345916606757726
GROCERY,SALD DRSNG/SNDWCH SPRD,26738.02,9488,1862,493,2.8180881112984824
PRODUCE,POTATOES,26484.010000000002,8765,1674,107,3.0215641756988023
GROCERY,DINNER MXS:DRY,26382.14,7491,1549,263,3.5218448805232945
PRODUCE,SALAD MIX,26086.3,9149,1579,183,2.851273363209094
DRUG GM,HAIR CARE PRODUCTS,25822.09,4515,1222,1368,5.719178294573643
GROCERY,FRZN VEGETABLE/VEG DSH,25717.13,7450,1491,337,3.4519637583892617
GROCERY,CONDIMENTS/SAUCES,25491.21,10112,1903,547,2.520887064873418
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,25355.49,6033,1380,193,4.202799602187967
PRODUCE,TOMATOES,25240.98,8965,1584,64,2.8155025097601785
MEAT-PCKGD,BACON,25213.06,6080,1353,117,4.146884868421052
GROCERY,FD WRAPS/BAGS/TRSH BG,24982.73,6366,1590,236,3.9243999371661955
MEAT-PCKGD,DINNER SAUSAGE,24038.83,5568,1398,254,4.317318606321839
GROCERY,REFRGRATD DOUGH PRODUCTS,23801.6,7829,1560,286,3.0401839315365944
PRODUCE,TROPICAL FRUIT,23735.7,18544,1879,64,1.2799665660051769
GROCERY,MILK BY-PRODUCTS,23696.5,11161,1774,191,2.123152047307589
GROCERY,FRUIT - SHELF STABLE,23535.81,7544,1546,305,3.1198051431601272
GROCERY,FRZN NOVELTIES/WTR ICE,23397.77,6013,1423,286,3.8911974056211545
PASTRY,CAKES,22439.46,2662,1089,463,8.42954921111946
GROCERY,EGGS,22360.69,15694,1982,91,1.424792277303428
GROCERY,HOUSEHOLD CLEANG NEEDS,21740.7,4069,1205,343,5.343008110100762
GROCERY,DRY BN/VEG/POTATO/RICE,21449.2,7477,1612,481,2.8686906513307475
DRUG GM,ORAL HYGIENE PRODUCTS,21087.89,4487,1310,742,4.6997749052819255
PRODUCE,BERRIES,20933.370000000003,5557,1272,64,3.7670271729350375
PRODUCE,APPLES,20880.14,7161,1441,121,2.91581343387795
FUEL,FUEL,19926.95,1164,271,5,17.119372852233678
PRODUCE,GRAPES,19420.57,5692,1415,40,3.4119061841180605
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,19384.81,4370,1312,1912,4.435883295194508
GROCERY,CAT FOOD,19372.39,3824,610,449,5.066001569037657
MEAT-PCKGD,HOT DOGS,19365.64,6340,1467,112,3.0545173501577287
GROCERY,PASTA SAUCE,19310.82,6455,1504,233,2.991606506584043
PRODUCE,VEGETABLES - ALL OTHERS,18901.12,9389,1590,156,2.013113217595058
DRUG GM,MAGAZINE,18220.96,4063,935,847,4.484607432931331
DELI,CHICKEN/POULTRY,18152.96,3260,940,142,5.568392638036809
GROCERY,PNT BTR/JELLY/JAMS,17867.34,5757,1561,301,3.1035852006253255
SALAD BAR,SALAD BAR,17807.69,4897,890,42,3.636448846232387
GROCERY,BAKING MIXES,17506.41,6374,1516,395,2.7465343583307185
GROCERY,PAPER TOWELS,17504.89,5894,1292,95,2.969950797421106
GROCERY,BAKING NEEDS,16815.91,5780,1523,443,2.909326989619377
MEAT-PCKGD,HEAT/SERVE,16245.960000000001,3009,904,127,5.39912263210369
DRUG GM,CANDY - CHECKLANE,16094.76,13183,1840,420,1.2208723355837063
GROCERY,SHORTENING/OIL,16015.5,4614,1479,209,3.471066319895969
GROCERY,SPICES & EXTRACTS,15794.36,5296,1590,626,2.9823187311178248
MEAT,SMOKED MEATS,15324.22,2261,877,123,6.777629367536488
GROCERY,SUGARS/SWEETNERS,15302.86,5602,1497,115,2.7316779721528026
NUTRITION,REFRIGERATED,14936.470000000001,3010,545,302,4.962282392026578
DRUG GM,ANALGESICS,14899.53,2443,988,409,6.09886614817847
GROCERY,ISOTONIC DRINKS,14755.7,3316,871,173,4.449849215922799
GROCERY,FRZN BREAKFAST FOODS,14645.18,4178,1076,203,3.505308760172331
DRUG GM,COLD AND FLU,14621.25,2745,1091,497,5.326502732240437
GROCERY,PAPER HOUSEWARES,14573.92,4430,1280,192,3.2898239277652372
DELI,SALADS/DIPS,14404.550000000001,3485,1098,267,4.1332998565279775
PRODUCE,CITRUS,14357.84,6022,1358,112,2.3842311524410493
GROCERY,SEAFOOD - SHELF STABLE,13908.9,4419,1227,166,3.1475220638153427
COSMETICS,MAKEUP AND TREATMENT,13731.94,2287,801,1707,6.004346305203323
DRUG GM,BABY FOODS,13621.32,2394,410,560,5.689774436090225
DRUG GM,SHAVING CARE PRODUCTS,13490.88,1901,775,362,7.0967280378748026
GROCERY,DRY NOODLES/PASTA,13167.91,7825,1670,257,1.6828
GROCERY,MARGARINES,13138.53,7586,1628,131,1.731944371210124
PRODUCE,ONIONS,12832.47,8850,1638,90,1.4499966101694914
GROCERY,MISC. DAIRY,12756.2,4028,1173,179,3.1668818272095334
DRUG GM,SOAP - LIQUID & BAR,12531.41,3370,1133,389,3.718519287833828
GROCERY,FROZEN PIE/DESSERTS,12476.02,3832,1191,208,3.255746346555324
DELI,PREPARED FOOD,12442.78,2677,730,122,4.648031378408667
SPIRITS,LIQUOR,12299.52,1085,397,289,11.335963133640554
GROCERY,FRZN POTATOES,12101.33,4507,1192,115,2.6850077656978035
DRUG GM,HAND/BODY/FACIAL PRODUCTS,11755.62,1620,680,535,7.256555555555556
DRUG GM,VITAMINS,11701.91,1168,537,503,10.018758561643835
DRUG GM,PREPAID WIRELESS&ACCESSORIES,11579.25,555,195,38,20.863513513513514
GROCERY,LAUNDRY ADDITIVES,11531.51,2493,896,161,4.625555555555556
DRUG GM,FEMININE HYGIENE,11430.58,2422,870,355,4.719479768786127
GROCERY,IMPORTED WINE,11365.68,946,277,362,12.01446088794926
SEAFOOD,SEAFOOD-FRESH,11325.57,1531,505,190,7.397498367080339
FLORAL,FLORAL-FRESH CUT,11130.82,1272,592,221,8.75064465408805
MEAT,TURKEY,11128.95,1527,676,131,7.288113948919451
PASTRY,BREAKFAST SWEETS,11054.89,4582,1175,221,2.4126778699257962
PRODUCE,ORGANICS FRUIT & VEGETABLES,10978.06,3374,1004,235,3.253722584469472
PRODUCE,VALUE ADDED FRUIT,10948.5,3294,988,62,3.3237704918032787
GROCERY,FROZEN BREAD/DOUGH,10932.630000000001,4054,1219,112,2.696751356684756
GROCERY,DISHWASH DETERGENTS,10618.73,3473,1186,165,3.0575093579038293
GROCERY,FACIAL TISS/DNR NAPKIN,10476.01,3808,1049,106,2.7510530462184875
GROCERY,AIR CARE,10291.26,2158,812,304,4.7688878591288235
DRUG GM,STATIONERY & SCHOOL SUPPLIES,10100.08,2544,970,937,3.9701572327044024
GROCERY,BEANS - CANNED GLASS & MW,10048.86,5345,1377,169,1.8800486435921422
PASTRY,BREAD,9971.12,4521,1054,265,2.2055120548551206
GROCERY,CAT LITTER,9938.34,1716,417,88,5.791573426573427
GROCERY,HOT CEREAL,9837.67,3161,1110,133,3.112201834862385
DRUG GM,DIETARY AID PRODUCTS,9744.51,1020,328,244,9.553441176470589
DRUG GM,SPRING/SUMMER SEASONAL,9737.210000000001,1068,673,339,9.117237827715357
GROCERY,SNACK NUTS,9669.11,2622,852,196,3.6876849733028223
GROCERY,PWDR/CRYSTL DRNK MX,9363.01,3036,947,212,3.083995388669302
PRODUCE,STONE FRUIT,9349.44,2977,961,38,3.140557608330534
GROCERY,BUTTER,9324.21,2800,785,43,3.330075
PRODUCE,PEPPERS-ALL,9298.56,4731,1206,46,1.965453392517438
PRODUCE,PROCESSED,9201.630000000001,2790,992,265,3.298075268817205
DRUG GM,DEODORANTS,9094.59,2431,991,435,3.741090086384204
PRODUCE,CARROTS,9067.81,4705,1251,44,1.927270988310308
GROCERY,PICKLE/RELISH/PKLD VEG,8978.0,3522,1196,232,2.549119818285065
DRUG GM,BABY HBC,8897.77,2224,739,289,4.000795863309353
GROCERY,WAREHOUSE SNACKS,8728.68,3544,1125,197,2.4629458239277655
PASTRY,COOKIES,8551.9,2047,888,246,4.177772349780166
PRODUCE,MELONS,8424.67,2445,866,37,3.445672801635992
DRUG GM,BOOKSTORE,8113.55,797,428,671,10.180112923462987
PRODUCE,VEGETABLES SALAD,7853.34,5948,1300,42,1.3203328850033624
DRUG GM,BATTERIES,7493.64,1290,728,134,5.809023255813954
DRUG GM,AUDIO/VIDEO PRODUCTS,7477.7699999999995,512,329,303,14.605019531249999
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,7457.25,2503,1054,136,2.9793248102277268
GROCERY,PET CARE SUPPLIES,7171.49,1448,554,532,4.952686464088398
PASTRY,PIES,7070.13,1593,640,169,4.438248587570621
GROCERY,DRY SAUCES/GRAVY,7025.86,3556,1093,192,1.9757761529808773
GROCERY,DRY MIX DESSERTS,6965.81,3207,1120,284,2.1720642344870598
PRODUCE,POPCORN,6922.5,2194,865,163,3.1551959890610757
DRUG GM,FIRST AID PRODUCTS,6874.32,1509,762,358,4.555546719681908
DRUG GM,SINUS AND ALLERGY,6834.01,915,458,160,7.468863387978143
PRODUCE,MUSHROOMS,6806.84,2719,686,57,2.5034350864288344
DRUG GM,ANTACIDS,6731.27,1000,512,194,6.73127
GROCERY,TEAS,6368.71,1918,783,275,3.320495307612096
DRUG GM,CHARCOAL AND LIGHTER FLUID,6355.72,1095,527,107,5.804310502283105
NUTRITION,FROZEN,6160.650000000001,878,237,268,7.016685649202734
PASTRY,ROLLS,5970.11,2889,933,164,2.066497057805469
DRUG GM,TOYS AND GAMES,5964.45,1164,555,552,5.12409793814433
NUTRITION,FITNESS&DIET,5937.62,1058,260,245,5.612117202268431
DRUG GM,ELECTRICAL SUPPPLIES,5780.82,1483,753,281,3.898057990559676
GROCERY,BLEACH,5760.12,2035,873,79,2.8305257985257986
PRODUCE,BROCCOLI/CAULIFLOWER,5754.39,2557,759,30,2.2504458349628473
DRUG GM,CHRISTMAS  SEASONAL,5713.88,1052,614,589,5.4314448669201525
DRUG GM,BROOMS AND MOPS,5684.96,1698,792,273,3.348032979976443
SEAFOOD,SEAFOOD - FROZEN,5617.45,572,266,73,9.820716783216783
NUTRITION,DRIED FRUIT,5466.39,1728,652,127,3.163420138888889
DRUG GM,LAXATIVES,5225.5,812,338,145,6.435344827586207
