department,total_sales_value,total_baskets,unique_households,unique_products
GROCERY,2316393.89,121140,2458,29566
DRUG GM,596326.91,66579,2404,22883
FUEL,329594.45,12994,1136,14
PRODUCE,322858.82,50756,2350,2323
MEAT,308575.33,30072,2175,1745
MEAT-PCKGD,232282.53,32943,2228,1752
DELI,148344.06,19999,2019,1801
MISCELLANEOUS,73773.53,3432,1033,73
PASTRY,69116.68000000001,17107,2053,1666
NUTRITION,57261.22,9849,1420,2265
SEAFOOD-PCKGD,35977.46,5092,1337,439
FLORAL,22303.18,2200,902,646
COSMETICS,18987.44,2978,978,2083
SALAD BAR,17812.4,4903,894,43
SEAFOOD,17081.36,1992,609,265
SPIRITS,12299.52,1085,397,289
GARDEN CENTER,5068.46,325,209,93
TRAVEL & LEISURE,1425.68,470,312,20
RESTAURANT,1260.97,258,100,79
COUPON,652.51,410,263,26
AUTOMOTIVE,301.96,37,34,2
GM MERCH EXP,67.02,39,27,1
PHOTO & VIDEO,51.7,17,17,3
CNTRL/STORE SUP,44.95,15,14,4
POSTAL CENTER,6.57,5,5,1
FROZEN GROCERY,6.39,1,1,1
TOYS,4.17,2,2,2
PROD-WHS SALES,2.52,3,1,1
ELECT &PLUMBING,1.0,1,1,1
