household_id,basket_id,product_id,department,product_category,product_type,quantity,sales_value,week,transaction_timestamp
900,31198570044,1095275,PASTRY,ROLLS,ROLLS: BAGELS,1,0.5,1,2017-01-01 06:53:26
900,31198570047,9878513,GROCERY,FACIAL TISS/DNR NAPKIN,FACIAL TISSUE & PAPER HANDKE,1,0.99,1,2017-01-01 07:10:28
1228,31198655051,1041453,GROCERY,BAG SNACKS,POTATO CHIPS,1,1.43,1,2017-01-01 07:26:30
906,31198705046,1020156,GROCERY,REFRGRATD DOUGH PRODUCTS,REFRIGERATED BAGELS,1,1.5,1,2017-01-01 07:30:27
906,31198705046,1053875,GROCERY,SEAFOOD - SHELF STABLE,TUNA,2,2.78,1,2017-01-01 07:30:27
906,31198705046,1060312,GROCERY,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,1,5.49,1,2017-01-01 07:30:27
906,31198705046,1075313,GROCERY,SEAFOOD - SHELF STABLE,TUNA,1,1.5,1,2017-01-01 07:30:27
1058,31198676055,985893,GROCERY,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,1.88,1,2017-01-01 07:56:33
1058,31198676055,988791,GROCERY,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,1.5,1,2017-01-01 07:56:33
1058,31198676055,9297106,GROCERY,FRZN BREAKFAST FOODS,FRZN BREAKFAST ENTREES/SANDWIC,1,2.69,1,2017-01-01 07:56:33
749,31198970033,1082310,GROCERY,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE OTH,1,1.61,1,2017-01-01 08:01:19
749,31198970033,5564931,GROCERY,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,1,1.59,1,2017-01-01 08:01:19
850,31198700070,995242,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,1.99,1,2017-01-01 08:22:42
850,31198700070,1022254,PRODUCE,POTATOES,POTATOES SWEET&YAMS,1,1.27,1,2017-01-01 08:22:42
850,31198700070,1082185,PRODUCE,TROPICAL FRUIT,BANANAS,1,0.97,1,2017-01-01 08:22:42
70,31198975059,1039156,DRUG GM,NEWSPAPER,NEWSPAPER,1,1.5,1,2017-01-01 08:28:35
83,31198676089,1046485,DRUG GM,VITAMINS,VITAMIN - MULTIPLE COMBIN,1,10.99,1,2017-01-01 08:31:53
83,31198676089,1082185,PRODUCE,TROPICAL FRUIT,BANANAS,1,0.19,1,2017-01-01 08:31:53
83,31198676089,5591611,PRODUCE,CARROTS,CARROTS BAGGED,2,1.38,1,2017-01-01 08:31:53
1419,31198515072,1037894,GROCERY,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,1,1.0,1,2017-01-01 08:39:43
1419,31198515072,1069175,GROCERY,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,1,1.29,1,2017-01-01 08:39:43
1873,31198640134,834484,PRODUCE,ONIONS,ONIONS OTHER,1,0.66,1,2017-01-01 08:47:20
1873,31198640134,852437,GROCERY,HISPANIC,MEXICAN SAUCESSALSAPICANTEE,1,1.5,1,2017-01-01 08:47:20
1873,31198640134,862854,GROCERY,CHEESE,SHREDDED CHEESE,1,2.0,1,2017-01-01 08:47:20
1873,31198640134,926905,GROCERY,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,3.0,1,2017-01-01 08:47:20
1873,31198640134,995211,GROCERY,BAG SNACKS,BAGGED CHEESE SNACKS,1,1.88,1,2017-01-01 08:47:20
1873,31198640134,5568378,GROCERY,BAG SNACKS,TORTILLA/NACHO CHIPS,1,1.88,1,2017-01-01 08:47:20
1873,31198640137,868473,GROCERY,FRZN JCE CONC/DRNKS,FRZN CONC ALLIEDS OVER 50% JUI,1,1.05,1,2017-01-01 08:48:22
1873,31198640137,968668,GROCERY,FRZN JCE CONC/DRNKS,FRZN CONC UNDER 50% JUICE,1,1.19,1,2017-01-01 08:48:22
1873,31198640137,1106523,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,4.98,1,2017-01-01 08:48:22
993,31198515122,840361,GROCERY,EGGS,EGGS - LARGE,1,1.0,1,2017-01-01 09:16:13
993,31198515122,859075,GROCERY,CHEESE,SHREDDED CHEESE,1,1.67,1,2017-01-01 09:16:13
993,31198515122,866227,PASTRY,BREAKFAST SWEETS,SW GDS:DONUTS,2,1.0,1,2017-01-01 09:16:13
993,31198515122,1039156,DRUG GM,NEWSPAPER,NEWSPAPER,1,1.5,1,2017-01-01 09:16:13
993,31198515122,1060269,GROCERY,FLUID MILK PRODUCTS,CHOCOLATE MILK,1,0.67,1,2017-01-01 09:16:13
993,31198515122,8118533,GROCERY,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1,3.49,1,2017-01-01 09:16:13
