week,total_sales_value,total_baskets,unique_households
1,10457.69,382,315
2,93186.18000000001,2912,1318
3,83902.62,2842,1288
4,83003.37,2995,1317
5,79552.61,2858,1289
6,95810.05,3084,1335
7,89718.15,2922,1285
8,80147.91,2866,1300
9,85753.02,2942,1305
10,90112.76,2930,1331
11,85408.07,2976,1302
12,84804.64,2933,1299
13,83182.7,2867,1288
14,87815.16,2930,1315
15,86971.27,3005,1334
16,88833.1,2958,1334
17,82546.42,2956,1291
18,83620.17,2855,1285
19,96411.12,3081,1391
20,90882.34,3138,1386
21,90497.22,3150,1391
22,88047.15,3046,1362
23,92513.14,3106,1361
24,90982.93000000001,3045,1335
25,87224.9,3061,1343
26,77549.3,2962,1283
27,90819.56,3078,1337
28,97748.34,3282,1410
29,86189.22,3031,1318
30,84830.14,2998,1315
31,83742.5,2990,1338
32,96663.34,3205,1407
33,87410.17,3050,1338
34,85529.75,2991,1308
35,82973.31,2973,1328
36,88464.38,2969,1332
37,92008.23,2999,1353
38,80958.92,2816,1293
39,82339.39,2941,1365
40,82987.98,3004,1325
41,90014.64,2987,1347
42,86743.76,3003,1360
43,83088.73,2940,1345
44,85815.07,2921,1293
45,97515.18000000001,3126,1398
46,86327.13,2927,1341
47,91108.77,2906,1354
48,92339.76,3090,1372
49,90332.82,2887,1328
50,92734.64,2911,1356
51,86770.68000000001,2930,1341
52,112967.28,3356,1428
53,80525.0,2542,1242
