week,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
1,10457.69,382,315,2619,27.376151832460735
2,93186.18000000001,2912,1318,11974,32.00074862637363
3,83902.62,2842,1288,11458,29.522385643912735
4,83003.37,2995,1317,11404,27.713979966611017
5,79552.61,2858,1289,10892,27.83506298110567
6,95810.05,3084,1335,12250,31.066812581063555
7,89718.15,2922,1285,11728,30.70436344969199
8,80147.91,2866,1300,11094,27.965076762037686
9,85753.02,2942,1305,11522,29.147865397688648
10,90112.76,2930,1331,11836,30.75520819112628
11,85408.07,2976,1302,11225,28.698948252688176
12,84804.64,2933,1299,11445,28.91395840436413
13,83182.7,2867,1288,11138,29.01384722706662
14,87815.16,2930,1315,11413,29.971044368600683
15,86971.27,3005,1334,11576,28.94218635607321
16,88833.1,2958,1334,11480,30.031473968897906
17,82546.42,2956,1291,10857,27.92504059539919
18,83620.17,2855,1285,10830,29.289026269702276
19,96411.12,3081,1391,11895,31.292151898734176
20,90882.34,3138,1386,11619,28.96186743148502
21,90497.22,3150,1391,11459,28.72927619047619
22,88047.15,3046,1362,10833,28.90582731451083
23,92513.14,3106,1361,11405,29.7852994204765
24,90982.93000000001,3045,1335,11495,29.87945155993432
25,87224.9,3061,1343,11072,28.49555700751388
26,77549.3,2962,1283,10225,26.181397704253882
27,90819.56,3078,1337,11005,29.50602988953866
28,97748.34,3282,1410,11670,29.783162705667277
29,86189.22,3031,1318,10767,28.435902342461233
30,84830.14,2998,1315,10969,28.295577051367577
31,83742.5,2990,1338,10537,28.00752508361204
32,96663.34,3205,1407,11674,30.16016848673947
33,87410.17,3050,1338,11185,28.65907213114754
34,85529.75,2991,1308,11048,28.59570377800067
35,82973.31,2973,1328,10852,27.908950554994952
36,88464.38,2969,1332,11138,29.796018861569554
37,92008.23,2999,1353,11784,30.67963654551517
38,80958.92,2816,1293,10942,28.749616477272728
39,82339.39,2941,1365,11101,27.99707242434546
40,82987.98,3004,1325,11243,27.625825565912116
41,90014.64,2987,1347,11643,30.135467023769667
42,86743.76,3003,1360,11434,28.885700965700963
43,83088.73,2940,1345,11200,28.261472789115643
44,85815.07,2921,1293,11588,29.37866141732284
45,97515.18000000001,3126,1398,12168,31.194875239923228
46,86327.13,2927,1341,11529,29.49338230269901
47,91108.77,2906,1354,11690,31.351951135581558
48,92339.76,3090,1372,11497,29.883417475728155
49,90332.82,2887,1328,11787,31.28951160374091
50,92734.64,2911,1356,11696,31.8566265888011
51,86770.68000000001,2930,1341,11494,29.614566552901028
52,112967.28,3356,1428,12828,33.66128724672229
53,80525.0,2542,1242,10861,31.677812745869396
